method: org.apache.fop.layoutmgr.inline.TextLayoutManager.createElementsForAWordFragment:715711197
1319424 -> 1319445
1319425 -> 1319446
1319426 -> 1319447
1319427 -> 1319448
1319428 -> 1319449
1319429 -> 1319450
1319430 -> 1319451
1319431 -> 1319452
1319432 -> 1319453
1319433 -> 1319454
1319434 -> 1319455
1319435 -> 1319456
1319436 -> 1319457
1319437 -> 1319458
1319438 -> 1319459
1319439 -> 1319460
1319440 -> 1319461
1319441 -> 1319462
1319442 -> 1319463
1319443 -> 1319464
1319444 -> 1319465
1319445 -> 1319466
1319446 -> 1319467
1319447 -> 1319468
1319448 -> 1319469
1319449 -> 1319470
1319450 -> 1319471
1319451 -> 1319472
1319452 -> 1319473
1319453 -> 1319474
1319454 -> 1319475
1319455 -> 1319476
1319456 -> 1319477
1319457 -> 1319478
1319458 -> 1319479
1319459 -> 1319480
1319460 -> 1319481
1319461 -> 1319482
1319462 -> 1319483
1319463 -> 1319484
1319464 -> 1319485
1319465 -> 1319486
1319466 -> 1319487
1319467 -> 1319488
1319468 -> 1319489
1319469 -> 1319490
1319470 -> 1319491
1319471 -> 1319492
1319472 -> 1319493
1319473 -> 1319494
1319474 -> 1319495
1319475 -> 1319496
1319476 -> 1319497
1319477 -> 1319498
1319478 -> 1319499
1319479 -> 1319500
1319354 -> 1319480
1319355 -> 1319481
1319356 -> 1319482
1319357 -> 1319483
1319358 -> 1319484
1319359 -> 1319485
1319360 -> 1319486
1319361 -> 1319487
1319362 -> 1319488
1319363 -> 1319489
1319364 -> 1319490
1319365 -> 1319491
1319366 -> 1319492
1319367 -> 1319493
1319368 -> 1319494
1319369 -> 1319495
1319370 -> 1319496
1319371 -> 1319497
1319372 -> 1319498
1319373 -> 1319499
1319374 -> 1319500
1319480 -> 1319501
1319481 -> 1319502
1319482 -> 1319503
1319483 -> 1319504
1319484 -> 1319505
1319485 -> 1319506
1319486 -> 1319507
1319487 -> 1319508
1319488 -> 1319509
1319489 -> 1319510
1319490 -> 1319511
1319491 -> 1319512
1319492 -> 1319513
1319493 -> 1319514
1319494 -> 1319515
1319495 -> 1319516
1319496 -> 1319517
1319497 -> 1319518
1319498 -> 1319519
1319499 -> 1319520
1319501 -> 1319521
1319502 -> 1319522
1319503 -> 1319523
1319504 -> 1319524
1319505 -> 1319525
1319506 -> 1319526
1319507 -> 1319527
1319508 -> 1319528
1319509 -> 1319529
1319510 -> 1319530
1319511 -> 1319531
1319512 -> 1319532
1319513 -> 1319533
1319514 -> 1319534
1319515 -> 1319535
1319516 -> 1319536
1319517 -> 1319537
1319518 -> 1319538
1319519 -> 1319539
1319520 -> 1319540
1319541 -> 1319542
1319521 -> 1319543
1319522 -> 1319544
1319523 -> 1319545
1319524 -> 1319546
1319525 -> 1319547
1319526 -> 1319548
1319527 -> 1319549
1319528 -> 1319550
1319529 -> 1319551
1319530 -> 1319552
1319531 -> 1319553
1319532 -> 1319554
1319533 -> 1319555
1319534 -> 1319556
1319535 -> 1319557
1319536 -> 1319558
1319537 -> 1319559
1319538 -> 1319560
1319539 -> 1319561
1319540 -> 1319562
1319542 -> 1319563
1319543 -> 1319564
1319544 -> 1319565
1319545 -> 1319566
1319546 -> 1319567
1319547 -> 1319568
1319548 -> 1319569
1319549 -> 1319570
1319550 -> 1319571
1319551 -> 1319572
1319552 -> 1319573
1319553 -> 1319574
1319554 -> 1319575
1319555 -> 1319576
1319556 -> 1319577
1319557 -> 1319578
1319558 -> 1319579
1319559 -> 1319580
1319560 -> 1319581
1319561 -> 1319582
1319562 -> 1319583
1319563 -> 1319584
1319018 -> 1319564
1319019 -> 1319565
1319020 -> 1319566
1319021 -> 1319567
1319022 -> 1319568
1319023 -> 1319569
1319024 -> 1319570
1319025 -> 1319571
1319026 -> 1319572
1319027 -> 1319573
1319028 -> 1319574
1319029 -> 1319575
1319030 -> 1319576
1319031 -> 1319577
1319032 -> 1319578
1319033 -> 1319579
1319034 -> 1319580
1319035 -> 1319581
1319036 -> 1319582
1319037 -> 1319583
1319038 -> 1319584
1319018 -> 1319585
1319019 -> 1319586
1319020 -> 1319587
1319021 -> 1319588
1319022 -> 1319589
1319023 -> 1319590
1319024 -> 1319591
1319025 -> 1319592
1319026 -> 1319593
1319027 -> 1319594
1319028 -> 1319595
1319029 -> 1319596
1319030 -> 1319597
1319031 -> 1319598
1319032 -> 1319599
1319033 -> 1319600
1319034 -> 1319601
1319035 -> 1319602
1319036 -> 1319603
1319037 -> 1319604
1319038 -> 1319605
1319585 -> 1319606
1319586 -> 1319607
1319587 -> 1319608
1319588 -> 1319609
1319589 -> 1319610
1319590 -> 1319611
1319591 -> 1319612
1319592 -> 1319613
1319593 -> 1319614
1319594 -> 1319615
1319595 -> 1319616
1319596 -> 1319617
1319597 -> 1319618
1319598 -> 1319619
1319599 -> 1319620
1319600 -> 1319621
1319601 -> 1319622
1319602 -> 1319623
1319603 -> 1319624
1319604 -> 1319625
1319606 -> 1319626
1319607 -> 1319627
1319608 -> 1319628
1319609 -> 1319629
1319610 -> 1319630
1319611 -> 1319631
1319612 -> 1319632
1319613 -> 1319633
1319614 -> 1319634
1319615 -> 1319635
1319616 -> 1319636
1319617 -> 1319637
1319618 -> 1319638
1319619 -> 1319639
1319620 -> 1319640
1319621 -> 1319641
1319622 -> 1319642
1319623 -> 1319643
1319624 -> 1319644
1319625 -> 1319645
1319646 -> 1319647
1319626 -> 1319564
1319627 -> 1319565
1319628 -> 1319566
1319629 -> 1319567
1319630 -> 1319568
1319631 -> 1319569
1319632 -> 1319570
1319633 -> 1319571
1319634 -> 1319572
1319635 -> 1319573
1319636 -> 1319574
1319637 -> 1319575
1319638 -> 1319576
1319639 -> 1319577
1319640 -> 1319578
1319641 -> 1319579
1319642 -> 1319580
1319643 -> 1319581
1319644 -> 1319582
1319645 -> 1319583
1319647 -> 1319584
1319564 -> 1319648
1319565 -> 1319649
1319566 -> 1319650
1319567 -> 1319651
1319568 -> 1319652
1319569 -> 1319653
1319570 -> 1319654
1319571 -> 1319655
1319572 -> 1319656
1319573 -> 1319657
1319574 -> 1319658
1319575 -> 1319659
1319576 -> 1319660
1319577 -> 1319661
1319578 -> 1319662
1319579 -> 1319663
1319580 -> 1319664
1319581 -> 1319665
1319582 -> 1319666
1319583 -> 1319667
1319584 -> 1319668
1319569 -> 1319669
